               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06561,            0.018674,                   0,             0.66604,             0.73217,             0.71141,             0.37457,            0.042946,           0.0071495,                   0,            0.070065,           0.0033261,           0.0033261
                   1,            0.045088,            0.013153,                   0,             0.77947,             0.75037,             0.81336,             0.41536,            0.040307,            0.006507,                   0,            0.039625,           0.0062199,           0.0062199
                   2,            0.041768,            0.012143,                   0,             0.86473,              0.8522,             0.87719,             0.45386,            0.036829,           0.0062776,                   0,           0.0087459,           0.0086737,           0.0086737
                   3,            0.038683,            0.011947,                   0,              0.8591,              0.8543,             0.87462,             0.45966,            0.035804,           0.0060512,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.036306,            0.011463,                   0,             0.90402,             0.87142,             0.90092,             0.51874,            0.033293,           0.0057669,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.034529,            0.010944,                   0,             0.90684,             0.89812,             0.92509,             0.55941,            0.031136,           0.0053832,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.032949,              0.0106,                   0,             0.92325,             0.91986,             0.94094,             0.59001,            0.029994,           0.0052229,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.031591,            0.010392,                   0,             0.92482,             0.92439,             0.94405,              0.5958,             0.02987,           0.0051539,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.030524,             0.01026,                   0,             0.93057,             0.93251,             0.94403,             0.61524,            0.028693,           0.0051181,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.029786,           0.0098555,                   0,             0.93216,              0.9402,             0.95051,             0.62249,            0.028263,           0.0049957,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.028823,           0.0098007,                   0,             0.93789,             0.94179,             0.95396,             0.63721,            0.027584,           0.0049206,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.028167,           0.0094595,                   0,             0.94178,             0.93422,              0.9541,             0.63876,            0.027879,           0.0048835,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.027534,           0.0094808,                   0,             0.94757,             0.93678,             0.95629,             0.65127,            0.027084,           0.0048395,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.026748,           0.0090136,                   0,             0.94864,              0.9402,             0.95842,             0.65915,            0.026683,            0.004692,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.026225,           0.0090456,                   0,             0.95061,             0.94191,             0.95985,             0.66701,            0.025922,           0.0046638,                   0,             0.00142,             0.00142,             0.00142
